"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"NPM1"	"WT1"	45	23	4	4	1.93827906649961	0.443889485513012	0.6618005002638	0.352725142061276	1
"FLT3"	"SETBP1"	42	33	0	1	Inf	0.447368421052632	Inf	0.349334675238536	1
"FLT3"	"STAG2"	42	33	0	1	Inf	0.447368421052632	Inf	0.349334675238536	1
"FLT3"	"JAK2"	42	33	0	1	Inf	0.447368421052632	Inf	0.349334675238536	1
"BIRC3"	"FLT3"	42	0	33	1	Inf	0.447368421052631	Inf	0.349334675238537	1
"FLT3"	"MYCN"	42	33	0	1	Inf	0.447368421052632	Inf	0.349334675238536	1
"FLT3"	"U2AF1"	42	33	0	1	Inf	0.447368421052632	Inf	0.349334675238536	1
"CDKN2A"	"FLT3"	42	0	33	1	Inf	0.447368421052631	Inf	0.349334675238537	1
"chr5qdel"	"FLT3"	42	0	33	1	Inf	0.447368421052631	Inf	0.349334675238537	1
"chr22gain"	"FLT3"	42	0	33	1	Inf	0.447368421052631	Inf	0.349334675238537	1
"ASXL1"	"ETV6"	62	10	3	1	2.04224476739058	0.472289015764142	0.714049579057874	0.325792154885917	1
"ASXL1"	"NRAS"	62	10	3	1	2.04224476739058	0.472289015764142	0.714049579057874	0.325792154885917	1
"ASXL1"	"EZH2"	62	10	3	1	2.04224476739058	0.472289015764142	0.714049579057874	0.325792154885917	1
"FLT3"	"SRSF2"	40	34	2	0	0	0.498947368421053	-Inf	0.301945263614762	1
"FLT3"	"U2AF2"	40	34	2	0	0	0.498947368421053	-Inf	0.301945263614762	1
"FLT3"	"NF1"	40	34	2	0	0	0.498947368421053	-Inf	0.301945263614762	1
"chr11qdel"	"FLT3"	40	2	34	0	0	0.498947368421053	-Inf	0.301945263614762	1
"chr7loss"	"FLT3"	40	2	34	0	0	0.498947368421053	-Inf	0.301945263614762	1
"chr21gain"	"FLT3"	40	2	34	0	0	0.498947368421053	-Inf	0.301945263614762	1
"chr17loss"	"FLT3"	40	2	34	0	0	0.498947368421053	-Inf	0.301945263614762	1
"SF3B1"	"TET2"	58	2	15	1	1.91365164810764	0.513229018492177	0.649013274432757	0.289688796149919	1
"KIT"	"TET2"	58	2	15	1	1.91365164810764	0.513229018492177	0.649013274432757	0.289688796149919	1
"t(8;21)"	"TET2"	58	2	15	1	1.91365164810764	0.513229018492177	0.649013274432757	0.289688796149919	1
"DNMT3A"	"U2AF2"	52	22	1	1	2.33382692334742	0.516491228070176	0.847509376593539	0.28693705000703	1
"ABL1"	"DNMT3A"	52	1	22	1	2.33382692334747	0.516491228070175	0.847509376593561	0.286937050007031	1
"BCOR"	"DNMT3A"	52	1	22	1	2.33382692334747	0.516491228070175	0.847509376593561	0.286937050007031	1
"DNMT3A"	"MYC"	52	22	1	1	2.33382692334742	0.516491228070176	0.847509376593539	0.28693705000703	1
"NPM1"	"SRSF2"	47	27	2	0	0	0.535789473684211	-Inf	0.271005822952089	1
"NPM1"	"U2AF2"	47	27	2	0	0	0.535789473684211	-Inf	0.271005822952089	1
"NPM1"	"ZRSR2"	47	27	2	0	0	0.535789473684211	-Inf	0.271005822952089	1
"MYC"	"NPM1"	47	2	27	0	0	0.53578947368421	-Inf	0.271005822952089	1
"NF1"	"NPM1"	47	2	27	0	0	0.53578947368421	-Inf	0.271005822952089	1
"chr11qdel"	"NPM1"	47	2	27	0	0	0.53578947368421	-Inf	0.271005822952089	1
"chr7loss"	"NPM1"	47	2	27	0	0	0.53578947368421	-Inf	0.271005822952089	1
"chr13gain"	"NPM1"	47	2	27	0	0	0.53578947368421	-Inf	0.271005822952089	1
"chr21gain"	"NPM1"	47	2	27	0	0	0.53578947368421	-Inf	0.271005822952089	1
"chr17loss"	"NPM1"	47	2	27	0	0	0.53578947368421	-Inf	0.271005822952089	1
"DNMT3A"	"TET2"	43	17	10	6	1.50896291145515	0.545042445353583	0.411422601256459	0.263569675585639	1
"NPM1"	"PHF6"	46	27	3	0	0	0.548335704125178	-Inf	0.260953474707973	1
"ATM"	"NPM1"	46	3	27	0	0	0.548335704125178	-Inf	0.260953474707973	1
"NPM1"	"RUNX1"	46	27	3	0	0	0.548335704125178	-Inf	0.260953474707973	1
"NPM1"	"t(8;21)"	46	27	3	0	0	0.548335704125178	-Inf	0.260953474707973	1
"inv(16)"	"NPM1"	46	3	27	0	0	0.548335704125178	-Inf	0.260953474707973	1
"CBL"	"DNMT3A"	50	3	23	0	0	0.549160739687056	-Inf	0.260300518679891	1
"DNMT3A"	"SF3B1"	50	23	3	0	0	0.549160739687055	-Inf	0.260300518679892	1
"DNMT3A"	"PHF6"	50	23	3	0	0	0.549160739687055	-Inf	0.260300518679892	1
"DNMT3A"	"RUNX1"	50	23	3	0	0	0.549160739687055	-Inf	0.260300518679892	1
"DNMT3A"	"t(8;21)"	50	23	3	0	0	0.549160739687055	-Inf	0.260300518679892	1
"chr8gain"	"DNMT3A"	50	3	23	0	0	0.549160739687056	-Inf	0.260300518679891	1
"DNMT3A"	"inv(16)"	50	23	3	0	0	0.549160739687055	-Inf	0.260300518679892	1
"NRAS"	"TET2"	56	4	16	0	0	0.573241879226018	-Inf	0.241662088943964	1
"DNMT3A"	"ETV6"	51	21	2	2	2.39691861941863	0.580040141078353	0.87418400386156	0.236541950496383	1
"DNMT3A"	"IDH1"	51	21	2	2	2.39691861941863	0.580040141078353	0.87418400386156	0.236541950496383	1
"ASXL1"	"TP53"	58	11	7	0	0	0.584396630959788	-Inf	0.233292296433482	1
"IDH2"	"TP53"	59	10	7	0	0	0.584396630959788	-Inf	0.233292296433482	1
"IDH2"	"WT1"	58	10	8	0	0	0.586978018345131	-Inf	0.231378162279069	1
"IDH1"	"NPM1"	47	2	25	2	1.86355404898151	0.612269919522983	0.62248544353133	0.213057076683954	1
"FLT3"	"NRAS"	39	33	3	1	0.398376598193638	0.623514877530739	-0.920357494470724	0.205153179471054	1
"EZH2"	"FLT3"	39	3	33	1	0.398376598193637	0.623514877530739	-0.920357494470727	0.205153179471054	1
"FLT3"	"NOTCH1"	39	33	3	1	0.398376598193638	0.623514877530739	-0.920357494470724	0.205153179471054	1
"DNMT3A"	"TP53"	47	22	6	1	0.360025515351645	0.667901461328099	-1.02158037406677	0.175287606324103	1
"DNMT3A"	"WT1"	48	20	5	3	1.4327469786408	0.691966572826063	0.359593565664237	0.159914884716402	1
