A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
SF1	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
t(16;16)	chr5qdel	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
PRPF40B	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
FBXW7	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
TBL1XR1	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
SF1	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
t(16;16)	chr21gain	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	CBL	149	30	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	MYCN	149	30	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	BRAF	149	30	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	U2AF1	149	30	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	chr22gain	149	30	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	t(11;19)	149	30	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	chr5loss	149	30	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	chr13gain	149	30	3	0	<-3	1.000	1.000	Mutual exclusivity
NRAS	SRSF2	147	21	13	1	-0.893	1.000	1.000	Mutual exclusivity
CBL	NF1	170	3	9	0	<-3	1.000	1.000	Mutual exclusivity
NF1	MYCN	170	9	3	0	<-3	1.000	1.000	Mutual exclusivity
NF1	U2AF1	170	9	3	0	<-3	1.000	1.000	Mutual exclusivity
NF1	HNRNPK	170	9	3	0	<-3	1.000	1.000	Mutual exclusivity
CBL	inv(16)	170	3	9	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	inv(16)	170	3	9	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	inv(16)	170	3	9	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	inv(16)	170	3	9	0	<-3	1.000	1.000	Mutual exclusivity
HNRNPK	inv(16)	170	3	9	0	<-3	1.000	1.000	Mutual exclusivity
NF1	t(11;19)	170	9	3	0	<-3	1.000	1.000	Mutual exclusivity
inv(16)	t(11;19)	170	9	3	0	<-3	1.000	1.000	Mutual exclusivity
inv(16)	chr5loss	170	9	3	0	<-3	1.000	1.000	Mutual exclusivity
NF1	chr13gain	170	9	3	0	<-3	1.000	1.000	Mutual exclusivity
inv(16)	chr13gain	170	9	3	0	<-3	1.000	1.000	Mutual exclusivity
SF3B1	inv(16)	169	4	9	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH1	inv(16)	169	4	9	0	<-3	1.000	1.000	Mutual exclusivity
TET2	CSF3R	142	38	2	0	<-3	1.000	1.000	Mutual exclusivity
TET2	MAP2K1	142	38	2	0	<-3	1.000	1.000	Mutual exclusivity
TET2	CDKN2A	142	38	2	0	<-3	1.000	1.000	Mutual exclusivity
TET2	t(15;17)	142	38	2	0	<-3	1.000	1.000	Mutual exclusivity
TET2	chr11qdel	142	38	2	0	<-3	1.000	1.000	Mutual exclusivity
TET2	CDH2	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	BIRC3	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	MYD88	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	NOTCH2	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	U2AF2	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	GATA2	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	RIT1	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	ABL1	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	BRINP3	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	PRPF40B	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	FBXW7	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	SF1	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
TET2	t(16;16)	143	38	1	0	<-3	1.000	1.000	Mutual exclusivity
SF3B1	KRAS	168	4	10	0	<-3	1.000	1.000	Mutual exclusivity
CSF1R	KRAS	168	4	10	0	<-3	1.000	1.000	Mutual exclusivity
TP53	KRAS	159	13	10	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	KRAS	159	13	10	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	CSF3R	150	30	2	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	MAP2K1	150	30	2	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	SETBP1	150	30	2	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	PTEN	150	30	2	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	CDKN2A	150	30	2	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	t(15;17)	150	30	2	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	chr11qdel	150	30	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	ASXL1	157	2	23	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	MAP2K1	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	SETBP1	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	SETBP1	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	PTEN	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	PTEN	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	PTEN	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	CDKN2A	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	CDKN2A	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	CDKN2A	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	CDKN2A	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	t(15;17)	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	t(15;17)	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	t(15;17)	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	t(15;17)	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	t(15;17)	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	chr11qdel	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	chr11qdel	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	chr11qdel	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	chr11qdel	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	chr11qdel	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
t(15;17)	chr11qdel	178	2	2	0	<-3	1.000	1.000	Mutual exclusivity
ATM	SMC1A	169	7	6	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	BCOR	169	6	7	0	<-3	1.000	1.000	Mutual exclusivity
PHF6	t(8;21)	169	7	6	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	t(8;21)	169	7	6	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
RIT1	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
ABL1	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
BRINP3	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
IL7R	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
SF1	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
t(16;16)	chr8gain	162	1	19	0	<-3	1.000	1.000	Mutual exclusivity
ATM	chr5qdel	169	7	6	0	<-3	1.000	1.000	Mutual exclusivity
PHF6	chr5qdel	169	7	6	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	chr5qdel	169	7	6	0	<-3	1.000	1.000	Mutual exclusivity
ATM	chr21gain	169	7	6	0	<-3	1.000	1.000	Mutual exclusivity
PHF6	chr21gain	169	7	6	0	<-3	1.000	1.000	Mutual exclusivity
BCOR	chr21gain	169	7	6	0	<-3	1.000	1.000	Mutual exclusivity
SRSF2	t(8;21)	162	14	6	0	<-3	1.000	1.000	Mutual exclusivity
SRSF2	chr5qdel	162	14	6	0	<-3	1.000	1.000	Mutual exclusivity
IDH2	TP53	141	28	11	2	-0.127	1.000	1.000	Mutual exclusivity
CSF3R	PTPN11	172	2	8	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	PTPN11	172	2	8	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	PTPN11	172	2	8	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	ETV6	167	10	5	0	<-3	1.000	1.000	Mutual exclusivity
MYC	STAG2	167	5	10	0	<-3	1.000	1.000	Mutual exclusivity
ETV6	STAG2	167	5	10	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	EZH2	167	10	5	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	RAD21	167	10	5	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	RAD21	167	10	5	0	<-3	1.000	1.000	Mutual exclusivity
MYC	KRAS	167	5	10	0	<-3	1.000	1.000	Mutual exclusivity
EZH2	KRAS	167	5	10	0	<-3	1.000	1.000	Mutual exclusivity
RAD21	KRAS	167	5	10	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	ZRSR2	167	10	5	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	ZRSR2	167	10	5	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	JAK2	167	10	5	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	SMC1A	166	10	6	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	SMC1A	166	10	6	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	SMC1A	166	10	6	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	t(8;21)	166	10	6	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	chr5qdel	166	10	6	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	chr5qdel	166	10	6	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	chr21gain	166	10	6	0	<-3	1.000	1.000	Mutual exclusivity
