"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"BRINP3"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"PRPF40B"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"FBXW7"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"FBXW7"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"FBXW7"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"FBXW7"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"FBXW7"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"IL7R"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"IL7R"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"IL7R"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"IL7R"	117	1	1	0	0	1	-Inf	0	1
